Time,Temp,PWM
504,150.6999969,10.92825598
505,150.6999969,10.92409801
506,150.6999969,10.91998201
507,150.6999969,10.91589539
508,150.6999969,10.91182934
509,150.6999969,10.90777768
510,150.6999969,10.90373611
511,150.6999969,10.89970158
512,150.6999969,10.895672
513,150.6999969,10.89164587
514,150.6999969,10.88762216
515,150.6999969,10.88360409
516,150.6999969,10.87957931
517,150.6999969,10.87556125
518,150.6999969,10.87153989
519,150.6999969,10.86752088
520,150.6999969,10.86350215
521,150.6999969,10.85948363
522,150.6999969,10.85546524
523,150.6999969,10.85144717
524,150.6999969,10.84742872
525,150.6999969,10.84341066
526,150.6999969,10.83939241
527,150.6999969,10.83537429
528,150.6999969,10.83135619
529,150.6999969,10.82733809
530,150.6999969,10.82332001
531,150.6999969,10.81930194
532,150.6999969,10.81528387
533,150.6999969,10.81126579
534,150.6999969,10.80724773
535,150.6999969,10.80322966
536,150.6999969,10.79921159
537,150.6999969,10.79519353
538,150.6999969,10.79117546
539,150.6999969,10.7871574
540,150.6000061,11.21320889
541,150.6000061,11.12636082
542,150.6000061,11.06453395
543,150.6000061,11.06108985
544,150.6000061,10.98817025
545,150.6000061,10.96470085
546,150.6000061,10.94723904
547,150.6000061,10.93398255
548,150.6000061,10.92366977
549,150.6000061,10.91541759
550,150.6000061,10.90860784
551,150.6000061,10.90280778
552,150.6000061,10.8977145
553,150.6000061,10.89311598
554,150.6000061,10.88886378
555,150.6000061,10.88485401
556,150.6000061,10.88101394
557,150.6000061,10.87729266
558,150.6000061,10.87365454
559,150.6000061,10.87007462
560,150.6000061,10.86653544
561,150.6000061,10.86302479
562,150.6000061,10.8595341
563,150.6000061,10.85605738
564,150.6000061,10.85259045
565,150.6000061,10.84913037
566,150.6000061,10.84567508
567,150.6000061,10.84222314
568,150.6000061,10.83877356
569,150.5,11.38462749
570,150.5,11.26258806
571,150.5,11.17629943
572,150.5,11.11503638
573,150.5,11.07129123
574,150.5,11.0398086
575,150.5,11.01690975
576,150.5,11.00001953
577,150.5,10.98733536
578,150.5,10.97759543
579,150.5,10.96991645
580,150.5,10.96368016
581,150.5,10.95845373
582,150.5,10.95393422
583,150.5,10.95106416
584,150.5,10.94623125
585,150.5,10.94279542
586,150.5,10.93952933
587,150.3999939,11.48568392
588,150.5,10.81472529
589,150.5,10.8474694
590,150.3999939,11.41883113
591,150.3999939,11.31481937
592,150.3999939,11.24132233
593,150.3999939,11.1891856
594,150.3999939,11.15200109
595,150.3999939,11.12528313
596,150.3999939,11.10589175
597,150.3999939,11.09162898
598,150.3999939,11.08095624
599,150.3999939,11.07279652
600,150.5,83.98794427
601,150.5,84.38837347
602,150.5,84.75391463
603,150.5,85.09503416
604,150.6000061,84.86975668
605,150.8000031,84.20188718
606,151.1000061,83.17775638
607,151.5,81.85778417
608,151.5,82.13617978
609,152.6000061,78.60751298
610,153.1999969,77.11841225
611,153.8999939,75.33119795
612,154.6999969,73.28807303
613,155.6000061,71.01840734
614,156.8000031,67.44415143
615,157.6999969,66.11211268
616,158.6999969,64.28902252
617,159.6999969,62.62375052
618,160.8000031,60.51792731
619,162.1999969,56.95736219
620,163.3000031,55.53347981
621,164.3999939,54.09378999
622,165.6000061,52.09167826
623,165.6000061,52.28913821
624,167.8999939,48.932224
625,169.5,44.84449422
626,170.6000061,44.04557807
627,171.6999969,43.03079374
628,172.8999939,41.31362881
629,172.8999939,41.46918598
630,174.5,37.56444069
631,175.6999969,36.33578544
632,177.8000031,35.24693868
633,177.8000031,35.37436923
634,178.8000031,34.50080224
635,179.8999939,32.91636548
636,182.1999969,29.33546321
637,183.1000061,28.89955384
638,184,28.20939321
639,184.8999939,27.33963009
640,185.6999969,26.89181347
641,186.6000061,25.68548051
642,187.6999969,23.35147632
643,188.5,22.88034479
644,189.3000031,22.20217157
645,190,21.9269934
646,190.6999969,21.42943018
647,191.3999939,20.774992
648,192.3000031,18.91093219
649,192.8999939,18.85304535
650,193.5,18.54853405
651,194.1000061,18.0704292
652,194.6000061,18.0190775
653,195.1999969,17.21309776
654,195.8999939,15.83174269
655,196.3999939,15.64821558
656,196.8000031,15.84504953
657,197.3000031,15.25502995
658,197.6999969,15.16585314
659,198.1000061,14.92321748
660,198.6000061,14.02333053
